Question,gt_sparql,generated_sparql,BLEU,Jaccard,BERTScore
Show the Wikidata ID of the person Robert Schober.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/95/2265> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/95/2266> <https://dblp.org/rdf/schema#wikidata>?answer },6.227170448085464e-155,1.0,"(0.9923498630523682, 0.9923498630523682, 0.9923498630523682)"
"Which papers did the author Rodr\u00EDguez, S. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/04/6636> },SELECT DISTINCT?paper WHERE {?paper <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/04/6636> },4.2874310268234296e-78,0.9565217391304348,"(0.9855724573135376, 0.9855724573135376, 0.9855724573135376)"
What is the webpage of the person Mohammad Soleymani?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/MohammadSoleymani> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/s/MohammadSoleymani> <https://dblp.org/rdf/schema#webpage>?answer },4.2874310268234296e-78,1.0,"(0.9940422773361206, 0.9940422773361206, 0.9940422177314758)"
"Which publications did Neamati, D. author?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/304/4294> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/304/4294> },4.2874310268234296e-78,1.0,"(0.9929364323616028, 0.9929364323616028, 0.9929364323616028)"
"Which papers did the author Kawasaki, H. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/08/4968> },SELECT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/08/4968> },3.764142464340334e-78,0.9361702127659575,"(0.9645533561706543, 0.9833404421806335, 0.9738562703132629)"
What is the Wikidata ID of Pablo G. Tahoces?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/58/6070> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/58/6070> <https://dblp.org/rdf/schema#wikidata>?answer },4.2874310268234296e-78,1.0,"(0.9933311939239502, 0.9933311939239502, 0.9933311939239502)"
The author Sameh S. Askar is primarily affiliated to which institution?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/141/4165> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },SELECT DISTINCT?answer WHERE {?author <https://dblp.org/rdf/schema#primaryAffiliation>?answer FILTER(?author = <https://dblp.org/pid/141/4165> ||?author = <https://dblp.org/pid/75/6627-11>) },1.384292958842266e-231,0.8333333333333334,"(0.9620407223701477, 0.9187449216842651, 0.939894437789917)"
What is the ORCID of the person Matti R.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/r/MattiRossi> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT?orcid WHERE {?pid <https://dblp.org/rdf/schema#pid> '<https://dblp.org/pid/r/MattiRossi>'; <https://dblp.org/rdf/schema#orcid>?orcid },1.0009379942300742e-231,0.8333333333333334,"(0.9319753050804138, 0.9325281381607056, 0.9322516322135925)"
Which papers did the author David S. Oliveira write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/180/1494> },SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/180/1494> },4.2874310268234296e-78,1.0,"(0.9927355647087097, 0.9927355647087097, 0.9927355647087097)"
Which papers did the author Jos\u00E9 Joaqu\u00EDn Bernal write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/12/3559> },"SELECT DISTINCT?paper WHERE {?paper <https://dblp.org/rdf/schema#authoredBy>?author.?author <https://dblp.org/rdf/foaf#name> ""José Joaquín Bernal"". }",1.3483065280626046e-231,0.7692307692307693,"(0.9288197755813599, 0.9055712223052979, 0.9170481562614441)"
What is the webpage of the author Peter W. Glynn?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/PeterWGlynn> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT?answer WHERE { <https://dblp.org/pid/g/PeterWGlynn> <https://dblp.org/rdf/schema#webpage>?answer },4.2874310268234296e-78,1.0,"(0.9931837320327759, 0.9931837320327759, 0.9931837320327759)"
What are the papers written by Omer L.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5969> },"SELECT DISTINCT?answer WHERE {?answer <https://dblp.org/rdf/schema#authoredBy>?pid.?pid <https://dblp.org/rdf/foaf#name> ""Omer L."" }",1.384292958842266e-231,0.875,"(0.94331955909729, 0.9313632249832153, 0.9373032450675964)"
Which publications did Loukmen Regainia write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/199/9664> },SELECT DISTINCT?paper WHERE {?paper <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/199/9664> },4.2874310268234296e-78,0.9565217391304348,"(0.9861565232276917, 0.9861565232276917, 0.9861565232276917)"
