,Unnamed: 0,Question,gt_sparql,generated_sparql,BLEU,Jaccard,BERTScore,answer,gt_answer,metrics
0,106,"Which papers did Ji, Shaoxiong publish in the last 8 years?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/227/0291> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-8) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/227/0291> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-8) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
1,138,"List the papers published by Huang, C. in the last 8 years.",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/75/2652> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-8) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/75/2652> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-8) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
2,140,List the papers published by Mohsen Vatani in the last three years.,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/158/4992> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-3) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/158/4992> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-3) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
3,141,"Which papers did the author Yang, Meng publish in the last four years?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/44/2761-13> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-4) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/44/2761-13> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-4) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
4,147,List the papers published by Jonathan Rebane in the last five years.,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/225/5587> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-5) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/225/5587> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-5) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
5,154,Which papers did the author Richard E. Stearns publish in the last 3 years?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/s/RichardEdwinStearns> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-3) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/s/RichardEdwinStearns> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-3) },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
6,160,"In the last 7 years, which papers did Robertson, N. publish?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/26/7169> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-7) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/26/7169> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-7) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
7,172,"In the last eight years, which papers did Lessiter, Jane publish?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/55/3759> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-8) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/55/3759> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-8) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
8,177,"In the last 9 years, which papers did Reyes J. publish?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/20/5153> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-9) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/20/5153> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-9) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
9,178,Which papers did the author Bradly G. Wouters publish in the last 2 years?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/73/11477> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-2) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/73/11477> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-2) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
10,180,"In the last two years, which papers did Atsushi Shibai publish?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/244/4340> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-2) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/244/4340> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-2) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
11,183,"List the papers published by Katzper, Meyer in the last three years.",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/24/3382> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-3) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/24/3382> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-3) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
12,189,"In the last 7 years, which papers did Hiroki Nishiyama publish?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/04/5689> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-7) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/04/5689> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-7) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
13,190,"In the last 4 years, which papers did G\u00F3mez, S. publish?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/75/6382> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-4) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/75/6382> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y . FILTER(?y > YEAR(NOW())-4) },0.8282477531331041,1.0,"(0.9965660572052002, 0.9950498342514038, 0.9958073496818542)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
14,196,Which papers did the author M. Mart\u00EDn publish in the last 3 years?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/77/8802> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-3) },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/77/8802> . ?answer <https://dblp.org/rdf/schema#yearOfPublication> ?y FILTER(?y > YEAR(NOW())-3) },1.0,1.0,"(1.0, 1.0, 1.0)",[],[],"{'exact_match': True, 'precision': 0, 'recall': 0, 'f1_score': 0, 'jaccard': 1.0}"
