title,question,response,ground_truth
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,What is the primary purpose of BERT?,BERT's primary purpose is pre-training deep bidirectional transformers for language understanding.,"BERT's primary purpose is to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers, enabling fine-tuning without substantial task-specific architecture modifications."
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,What are the two unsupervised pre-training tasks used in BERT?,Masked language model (MLM) and next sentence prediction.,"The two unsupervised pre-training tasks used in BERT are:

Masked Language Model (MLM): Randomly masks some tokens from the input and predicts the original vocabulary id of the masked word based only on its context.

Next Sentence Prediction (NSP): Task that jointly pretrains text-pair representations."
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,What is the purpose of the next sentence prediction (NSP) task in BERT?,"To pre-train the model towards the next sentence prediction task, which is beneficial to both QA and NLI.","In order to train a model that understands sentence relationships, a binarized next sentence prediction task that can be trivially generated from any monolingual corpus is used."
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,How does BERT's architecture differ from OpenAI GPT and ELMo?,"BERT's architecture differs from OpenAI GPT in its bi-directionality and two pre-training tasks, as well as differences in training data and the use of special tokens. Unlike ELMo, BERT is a fine-tuning approach rather than a feature-based approach.",BERT uses a bidirectional Transformer. OpenAI GPT uses a left-to-right Transformer. ELMo uses the concatenation of independently trained left-to-right and right-to-left LSTMs to generate features for downstream tasks.
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,How is BERT input structured for sentence pairs?,"BERT input for sentence pairs consists of a special classification token ([CLS]), the two sentences packed together, separated by a special token ([SEP]), and learned embeddings indicating whether each token belongs to sentence A or sentence B.","Sentence pairs are packed together into a single sequence, separated with a special token ([SEP]), and a learned embedding is added to every token indicating whether it belongs to sentence A or sentence B."
SemEval-2018 Task 7: Semantic Relation Extraction and Classification in Scientific Papers,What is SemEval 2018 Task 7 about?,Semantic Relation Extraction and Classification in Scientific Papers.,This paper describes the first task on semantic relation extraction and classification in scientific paper abstracts at SemEval 2018.
SemEval-2018 Task 7: Semantic Relation Extraction and Classification in Scientific Papers,What are the three subtasks included in SemEval-2018 Task 7?,Semantic Relation Extraction and Classification in Scientific Papers,"The three subtasks are:

- Relation classification on clean data (Subtask 1.1).
- Relation classification on noisy data (Subtask 1.2).
- Relation extraction and classification scenario (Subtask 2)."
SemEval-2018 Task 7: Semantic Relation Extraction and Classification in Scientific Papers,What does relation classification on clean data subtask involve?,"Relation classification on clean data subtask involves manually annotated entities that are typically long noun phrases, which may be more complex and specific compared to automatically annotated entities.",The subtask involves in entity occurrences which are manually annotated in both the training and the test data.
SemEval-2018 Task 7: Semantic Relation Extraction and Classification in Scientific Papers,What does relation extraction and classification scenario involve?,Relation extraction involves identifying instances of semantic relations between concepts in scientific papers. Relation classification involves classifying these instances into 6 discrete categories specific to the science domain.,"The subtask consists in identifying instances of semantic relations between entities in the same sentence, and assigning class labels."
SemEval-2018 Task 7: Semantic Relation Extraction and Classification in Scientific Papers,How was the data prepared for the task?,"For the SQuAD v2.0 task, the data preparation involved treating questions that do not have an answer as having an answer span with start and end at the [CLS] token. The probability space for the start and end answer span positions was extended to include the position of the [CLS] token.","The data consisted of abstracts from published research papers in computational linguistics. Two corpora, ACL RD-TEC 2.0 and ACL-RelAcS, were used for entity annotation. Manual annotations were used for clean data while automatic annotations were used for noisy data."
"Multi-Task Identification of Entities, Relations, and Coreference for Scientific Knowledge Graph Construction",Wwhat does SCIERC include?,"Annotations for scientific entities, their relations, and coreference clusters for 500 scientific abstracts.","SCIERC is a dataset created for scientific information extraction, including annotations annotations for scientific entities, their relations, and coreference clusters for 500 scientific abstracts."
"Multi-Task Identification of Entities, Relations, and Coreference for Scientific Knowledge Graph Construction",What is the SCIIE ?,"SCIIE is a unified multi-task model for identifying entities, relations, and coreference in scientific texts.",SCIIE (Scientific Information Extractor)is a unified framework with shared span representations.
"Multi-Task Identification of Entities, Relations, and Coreference for Scientific Knowledge Graph Construction",What are the types of scientific entities annotated in SCIERC?,"Task, Method, Metric, Material, Other-ScientificTerm, Generic","There are six types for annotating scientific entities (Task, Method, Metric, Material, Other-ScientificTerm and Generic)."
"Multi-Task Identification of Entities, Relations, and Coreference for Scientific Knowledge Graph Construction",What tasks does SCIIE model include?,"Entity recognition, relation extraction, and coreference resolution.","SCIIE includes three tasks of entity recognition, relation extraction, and coreference resolution. These tasks are treated as multinomial classification problems with shared span representations."
"Multi-Task Identification of Entities, Relations, and Coreference for Scientific Knowledge Graph Construction", What does the SCIIE-based knowledge graph represent?,A scientific knowledge graph.,Nodes in the knowledge graph correspond to scientific entities. Edges correspond to scientific relations between pairs of entities.
End-to-End Relation Extraction using LSTMs on Sequences and Tree Structures,What is the proposed model in the paper?,BERT (Bidirectional Encoder Representations from Transformers),The study presents a novel end-to-end neural model for extracting entities and relations between them. 
End-to-End Relation Extraction using LSTMs on Sequences and Tree Structures,What are the key components of the proposed architecture?,"L (number of layers), H (hidden size), A (number of self-attention heads)","The proposed architecture consists of three main layers: Embedding Layer,Sequence Layer and Dependency Layer."
End-to-End Relation Extraction using LSTMs on Sequences and Tree Structures,What is the key architecture design of the proposed model?,A multi-layer bidirectional Transformer encoder.,The model allows joint modeling of entities and relations in a single model by using both bidirectional sequential (left-to-right and right-to-left) and bidirectional tree-structured (bottom-up and top-down) LSTM-RNNs. 
End-to-End Relation Extraction using LSTMs on Sequences and Tree Structures,What enhancements are introduced during training to improve performance?,Data augmentation by fine-tuning on TriviaQA before fine-tuning on SQuAD.,Two key enhancements are introduced: (1) Entity Pretraining: involves pretraining the entity model and (2) Scheduled Sampling: replaces (unreliable) predicted labels with gold labels in a certain probability.
End-to-End Relation Extraction using LSTMs on Sequences and Tree Structures,What datasets were used for evaluation?,ACL RD-TEC 2.0 and ACL-RelAcS,"The model was evaluated on ACE05, ACE04 for end-to-end relation extraction and SemEval-2010 Task 8 for relation classification. "
SemEval 2017 Task 10: ScienceIE - Extracting Keyphrases and Relations from Scientific Publications,What is the SemEval 2017 Task 10?,ScienceIE - Extracting Keyphrases and Relations from Scientific Publications.,The SemEval 2017 Task 10 involves extracting keyphrases and relations between them from scientific documents. 
