Question,gt_sparql,generated_sparql,BLEU,Jaccard,BERTScore
Show the Wikidata ID of the person Robert Schober.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/95/2265> <https://dblp.org/rdf/schema#wikidata> ?answer },"SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/95/2265> <https://dblp.org/rdf/schema#wikidata> ?answer } 
",1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"Which papers did the author Rodr\u00EDguez, S. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/04/6636> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/35/1131> } 
```",0.7506238537503395,0.8958333333333334,"(0.9920552968978882, 0.9920552968978882, 0.9920552968978882)"
What is the webpage of the person Mohammad Soleymani?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/MohammadSoleymani> <https://dblp.org/rdf/schema#webpage> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/184/9492> <https://dblp.org/rdf/schema#webpage> ?answer } 
```",0.5969491792019646,0.8478260869565217,"(0.9517523050308228, 0.9735203385353088, 0.9625132083892822)"
"Which publications did Neamati, D. author?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/304/4294> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/304/4294> } 
```",1.0,1.0,"(1.0, 1.0, 1.0)"
"Which papers did the author Kawasaki, H. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/08/4968> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/08/4968> } 
```",1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What is the Wikidata ID of Pablo G. Tahoces?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/58/6070> <https://dblp.org/rdf/schema#wikidata> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/58/6070> <https://dblp.org/rdf/schema#wikidata> ?answer } 
```",1.0,1.0,"(0.9999998807907104, 0.9999998807907104, 0.9999998807907104)"
The author Sameh S. Askar is primarily affiliated to which institution?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/141/4165> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },"SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/141/4165> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer } 
",1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What is the ORCID of the person Matti R.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/r/MattiRossi> <https://dblp.org/rdf/schema#orcid> ?answer },"SELECT DISTINCT ?orcid WHERE { ?person <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <https://dblp.org/rdf/schema#Person> . 
?person rdfs:label ?name .
FILTER(REGEX(?name, ""matti.*r"", ""i"")) .
?person <https://dblp.org/rdf/schema#hasORCID> ?orcid }",5.859491021246916e-155,0.6610169491525424,"(0.9089483618736267, 0.854240894317627, 0.8807458877563477)"
Which papers did the author David S. Oliveira write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/180/1494> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/180/1494> } 
```",1.0,1.0,"(1.0, 1.0, 1.0)"
Which papers did the author Jos\u00E9 Joaqu\u00EDn Bernal write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/12/3559> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/12/3559> } 
```",1.0,1.0,"(1.0, 1.0, 1.0)"
What is the webpage of the author Peter W. Glynn?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/PeterWGlynn> <https://dblp.org/rdf/schema#webpage> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/PeterWGlynn> <https://dblp.org/rdf/schema#webpage> ?answer }
```",1.0,1.0,"(1.0, 1.0, 1.0)"
What are the papers written by Omer L.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5969> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/122/8515> } 
",0.7506238537503395,0.8775510204081632,"(0.9927388429641724, 0.9927388429641724, 0.9927388429641724)"
Which publications did Loukmen Regainia write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/199/9664> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/199/9664> } 
",1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
Which publications did Christian L. M\u00FCller write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/33/7873> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/33/7873> } 
```",1.0,1.0,"(1.0, 1.0, 1.0)"
Which publications did Dimitri K. author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/172/1162> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/201/2635> } 
",0.7506238537503395,0.9183673469387755,"(0.9910879135131836, 0.9910879135131836, 0.9910879135131836)"
Which publications did H. Hai Pham write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/230/3185> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/94/9994> } 
```",0.7506238537503395,0.84,"(0.9882172346115112, 0.988473653793335, 0.9883454442024231)"
Which papers did the author Stefan Schreiber write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/00/2941> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/00/2941> } 
```",1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"Mention the ORCID of the researcher El-Gayar, Omar F..",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/16/304> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?x <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/16/304> . ?x <https://dblp.org/rdf/schema#author> ?answer FILTER(isURI(?answer))}
```",0.31455601883230705,0.8461538461538461,"(0.9525322914123535, 0.9175069332122803, 0.9346915483474731)"
Mention the ORCID of the researcher Joaquin Vanschoren.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/85/5045> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/85/5045> <https://orcid.org/schema#orcid> ?answer } 
```",0.6606328636027614,0.9767441860465116,"(0.970937192440033, 0.9753960371017456, 0.9731615781784058)"
What is the ORCID of the person P. J. Bentley?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/35/6713> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/23/1041> . ?answer <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <https://dblp.org/rdf/schema#Article> }
```",0.31455601883230705,0.7735849056603774,"(0.9392107725143433, 0.906493067741394, 0.9225619435310364)"
What is the ORCID of the person Goele Pipeleers?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/98/4973> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/98/4973> },0.5019724248795793,0.9777777777777777,"(0.9668943285942078, 0.971001386642456, 0.9689434766769409)"
The author Daniel S. Weld is associated with which Wikidata identifier?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/DanielSWeld> <https://dblp.org/rdf/schema#wikidata> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/DanielSWeld> <https://dblp.org/rdf/schema#wikidata> ?answer } 
```",1.0,1.0,"(0.9999998807907104, 0.9999998807907104, 0.9999998807907104)"
What are the papers written by the person Christian A. Larsson?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/11/9186> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/11/9186> } 
```",1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"What is the ORCID of the person Hirschfeld, James W. P.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <https://dblp.org/rdf/schema#orcid> ?answer } 
```",1.0,1.0,"(1.0, 1.0, 1.0)"
