Question,GT SPARQL,Generated SPARQL,BLEU,Jaccard,BERTScore
Show the Wikidata ID of the person Robert Schober.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/95/2265> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/95/2265> <https://dblp.org/rdf/schema#wikidata> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
"Which papers did the author Rodr\u00EDguez, S. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/04/6636> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/04/6636> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What is the webpage of the person Mohammad Soleymani?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/MohammadSoleymani> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/MohammadSoleymani> <https://dblp.org/rdf/schema#webpage> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
"Which publications did Neamati, D. author?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/304/4294> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/304/4294> },1.0,1.0,"(1.0, 1.0, 1.0)"
"Which papers did the author Kawasaki, H. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/08/4968> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/08/4968> },1.0,1.0,"(1.0, 1.0, 1.0)"
What is the Wikidata ID of Pablo G. Tahoces?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/58/6070> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/58/6070> <https://dblp.org/rdf/schema#wikidata> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
The author Sameh S. Askar is primarily affiliated to which institution?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/141/4165> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/141/4165> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
What is the ORCID of the person Matti R.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/r/MattiRossi> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT ?orcid WHERE { <https://dblp.org/pid/r/MattiRossi> <http://xmlns.com/foaf/0.1/person/> ?person . ?person <http://www.w3.org/2007/orcid#orcid-id> ?orcid },3.908633169762327e-78,0.851063829787234,"(0.9458564519882202, 0.9085785150527954, 0.9268428087234497)"
Which papers did the author David S. Oliveira write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/180/1494> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/180/1494> },1.0,1.0,"(1.0, 1.0, 1.0)"
Which papers did the author Jos\u00E9 Joaqu\u00EDn Bernal write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/12/3559> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/12/3559> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What is the webpage of the author Peter W. Glynn?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/PeterWGlynn> <https://dblp.org/rdf/schema#webpage> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/PeterWGlynn> <https://dblp.org/rdf/schema#webpage> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
What are the papers written by Omer L.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5969> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5969> },1.0,1.0,"(1.0, 1.0, 1.0)"
Which publications did Loukmen Regainia write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/199/9664> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/199/9664> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
Which publications did Christian L. M\u00FCller write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/33/7873> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/33/7873> },1.0,1.0,"(1.0, 1.0, 1.0)"
Which publications did Dimitri K. author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/172/1162> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/172/1162> },1.0,1.0,"(1.0, 1.0, 1.0)"
Which publications did H. Hai Pham write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/230/3185> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/230/3185> },1.0,1.0,"(1.0, 1.0, 1.0)"
Which papers did the author Stefan Schreiber write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/00/2941> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/00/2941> },1.0,1.0,"(1.0, 1.0, 1.0)"
"Mention the ORCID of the researcher El-Gayar, Omar F..",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/16/304> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/16/304> <https://dblp.org/rdf/schema#hasORCID> ?answer },0.6606328636027614,0.9777777777777777,"(0.9905499815940857, 0.9826626181602478, 0.986590564250946)"
Mention the ORCID of the researcher Joaquin Vanschoren.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/85/5045> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/85/5045> <https://dblp.org/rdf/schema#orcid> ?answer },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What is the ORCID of the person P. J. Bentley?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/35/6713> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/35/6713> <http://xmlns.com/foaf/0.1/page> ?person . ?person <http://orcid.org/0000-0002-1825-497X> ?answer },0.42803206067505944,0.8269230769230769,"(0.9506592750549316, 0.9071375131607056, 0.9283886551856995)"
What is the ORCID of the person Goele Pipeleers?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/98/4973> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT ?orcid WHERE { <https://dblp.org/pid/98/4973> <http://schema.org/sameAs> ?orcid },5.30941411456236e-78,0.8888888888888888,"(0.9576280117034912, 0.9613602161407471, 0.9594904780387878)"
The author Daniel S. Weld is associated with which Wikidata identifier?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/DanielSWeld> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/DanielSWeld> <https://dblp.org/rdf/schema#wikidata> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
What are the papers written by the person Christian A. Larsson?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/11/9186> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/11/9186> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"What is the ORCID of the person Hirschfeld, James W. P.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <https://dblp.org/rdf/schema#orcid> ?answer },"SELECT DISTINCT ?orcid WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <http://xmlns.com/foaf/0.1/name> ""Hirschfeld, James W. P."" ; <http://orcid.org/> ?orcid }",3.480275084383042e-78,0.8297872340425532,"(0.9371810555458069, 0.9012595415115356, 0.9188693165779114)"
"What are the papers written by Brereton, Margot?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5922> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5922> },1.0,1.0,"(1.0, 1.0, 1.0)"
What are the papers written by the person Jo\u00E3o Manuel R. S. Tavares?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/t/JoaoManuelRSTavares> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/t/JoaoManuelRSTavares> },1.0,1.0,"(1.0, 1.0, 1.0)"
"What is the Wikidata ID of Kreinovich, V.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/k/VladikKreinovich> <https://dblp.org/rdf/schema#wikidata> ?answer },Nan,0.0,0.06976744186046512,"(0.71091228723526, 0.8327459096908569, 0.7670211791992188)"
Which publications did Jean-Didier M. write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/26/1550> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/26/1550> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"Mention the ORCID of the researcher Turcanu, Ion.",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/170/2615> <https://dblp.org/rdf/schema#orcid> ?answer },SELECT DISTINCT ?orcid WHERE { <https://dblp.org/pid/170/2615> <https://dblp.org/rdf/schema#hasORCID> ?orcid },5.30941411456236e-78,0.9347826086956522,"(0.9811583757400513, 0.968406081199646, 0.9747405052185059)"
Which publications did N. D\u00F6llinger write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/222/9250> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/222/9250> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What is the Wikidata identifier of the author Borko Furht?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/f/BorkoFurht> <https://dblp.org/rdf/schema#wikidata> ?answer },SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/f/BorkoFurht> <https://dblp.org/rdf/schema#wikidata> ?answer },1.0,1.0,"(1.0, 1.0, 1.0)"
Which publications did Ellen Riloff write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/r/ERiloff> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/r/ERiloff> },1.0,1.0,"(0.9999998807907104, 0.9999998807907104, 0.9999998807907104)"
"Which publications did Matsuura, Hiroshi write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/58/2802> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/58/2802> },1.0,1.0,"(1.0, 1.0, 1.0)"
"Which publications did Liu, X. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/21/4323> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/21/4323> },1.0,1.0,"(1.0, 1.0, 1.0)"
"Which publications did Hollingshead, A. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/236/6551> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/236/6551> },1.0,1.0,"(1.0, 1.0, 1.0)"
