Question,gt_sparql,generated_sparql,BLEU,Jaccard,BERTScore
Show the Wikidata ID of the person Robert Schober.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/95/2265> <https://dblp.org/rdf/schema#wikidata> ?answer },"SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/95/2265> <https://dblp.org/rdf/schema#wikidata> ?answer } 
",1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"Which papers did the author Rodr\u00EDguez, S. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/04/6636> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/234/4279> } 
",0.7506238537503395,0.8979591836734694,"(0.9907646179199219, 0.9903360605239868, 0.9905502796173096)"
What is the webpage of the person Mohammad Soleymani?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/MohammadSoleymani> <https://dblp.org/rdf/schema#webpage> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/MohammadSoleymani> <https://dblp.org/rdf/schema#webpage> ?answer } 
```",1.0,1.0,"(1.0, 1.0, 1.0)"
"Which publications did Neamati, D. author?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/304/4294> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/304/4294> } 
",1.0,1.0,"(1.0, 1.0, 1.0)"
"Which papers did the author Kawasaki, H. write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/08/4968> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/308/4296> }
```",0.7506238537503395,0.9591836734693877,"(0.9909824132919312, 0.9909824132919312, 0.9909824132919312)"
What is the Wikidata ID of Pablo G. Tahoces?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/58/6070> <https://dblp.org/rdf/schema#wikidata> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/58/6070> <https://dblp.org/rdf/schema#wikidata> ?answer } 
```",1.0,1.0,"(0.9999998807907104, 0.9999998807907104, 0.9999998807907104)"
The author Sameh S. Askar is primarily affiliated to which institution?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/141/4165> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/141/4165> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer } 
```",1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
What is the ORCID of the person Matti R.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/r/MattiRossi> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/72/270>.
?answer <https://dblp.org/rdf/schema#orcid> ?answer
} 
```",0.4240125351805037,0.8666666666666667,"(0.9387729167938232, 0.9329178929328918, 0.9358362555503845)"
Which papers did the author David S. Oliveira write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/180/1494> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/170/3705> }
```",0.7506238537503395,0.88,"(0.9936784505844116, 0.9936784505844116, 0.9936784505844116)"
Which papers did the author Jos\u00E9 Joaqu\u00EDn Bernal write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/12/3559> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/322/0174> }
```",0.7506238537503395,0.9,"(0.9911865592002869, 0.9911313652992249, 0.9911589622497559)"
What is the webpage of the author Peter W. Glynn?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/PeterWGlynn> <https://dblp.org/rdf/schema#webpage> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/g/PeterWGlynn> <https://dblp.org/rdf/schema#webpage> ?answer } 
```",1.0,1.0,"(1.0, 1.0, 1.0)"
What are the papers written by Omer L.?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5969> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/314/3899> } 
",0.7506238537503395,0.8979591836734694,"(0.9920615553855896, 0.9920615553855896, 0.9920615553855896)"
Which publications did Loukmen Regainia write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/199/9664> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/199/9664> } 
```",1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
Which publications did Christian L. M\u00FCller write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/33/7873> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/164/9762> } 
```",0.7506238537503395,0.86,"(0.9916722774505615, 0.9916722774505615, 0.9916722774505615)"
Which publications did Dimitri K. author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/172/1162> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/322/4968> } 
",0.7506238537503395,0.88,"(0.993903636932373, 0.993903636932373, 0.993903636932373)"
Which publications did H. Hai Pham write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/230/3185> },"SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/172/7824> } 
",0.7506238537503395,0.9,"(0.9924544095993042, 0.9924544095993042, 0.9924544095993042)"
Which papers did the author Stefan Schreiber write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/00/2941> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/00/2941> } 
```",1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"Mention the ORCID of the researcher El-Gayar, Omar F..",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/16/304> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?x <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/16/304> . ?x <https://dblp.org/rdf/schema#orcid> ?answer } 
```",0.39832871551569504,0.9565217391304348,"(0.9686781167984009, 0.9480998516082764, 0.9582785367965698)"
Mention the ORCID of the researcher Joaquin Vanschoren.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/85/5045> <https://dblp.org/rdf/schema#orcid> ?answer },"SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/85/5045> <https://orcid.org/schema#orcid> ?answer } 
",0.6606328636027614,0.9767441860465116,"(0.970937192440033, 0.9753960371017456, 0.9731615781784058)"
What is the ORCID of the person P. J. Bentley?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/35/6713> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/129/4749> . ?answer <https://dblp.org/rdf/schema#orcid> ?orcid } 
```",0.32523403430389786,0.8541666666666666,"(0.9585652351379395, 0.9444783329963684, 0.9514696598052979)"
What is the ORCID of the person Goele Pipeleers?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/98/4973> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/98/4973> . 
?answer <https://dblp.org/rdf/schema#orcid> ?orcid }
```",0.3349531889697646,0.9565217391304348,"(0.961544394493103, 0.9370443820953369, 0.9491363167762756)"
The author Daniel S. Weld is associated with which Wikidata identifier?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/DanielSWeld> <https://dblp.org/rdf/schema#wikidata> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/DanielSWeld> <https://dblp.org/rdf/schema#wikidata> ?answer } 
```",1.0,1.0,"(0.9999998807907104, 0.9999998807907104, 0.9999998807907104)"
What are the papers written by the person Christian A. Larsson?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/11/9186> },SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/11/9186> },1.0,1.0,"(0.9999999403953552, 0.9999999403953552, 0.9999999403953552)"
"What is the ORCID of the person Hirschfeld, James W. P.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <https://dblp.org/rdf/schema#orcid> ?answer } 
```",1.0,1.0,"(1.0, 1.0, 1.0)"
"What are the papers written by Brereton, Margot?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5922> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5922> } 
```",1.0,1.0,"(1.0, 1.0, 1.0)"
What are the papers written by the person Jo\u00E3o Manuel R. S. Tavares?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/t/JoaoManuelRSTavares> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/t/JoaoManuelRSTavares> } 
```",1.0,1.0,"(1.0, 1.0, 1.0)"
"What is the Wikidata ID of Kreinovich, V.?",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/k/VladikKreinovich> <https://dblp.org/rdf/schema#wikidata> ?answer },"SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/k/VladikKreinovich> <http://www.wikidata.org/prop/direct/P2180> ?answer } 
",0.6606328636027614,0.8333333333333334,"(0.9608619809150696, 0.9571291208267212, 0.9589918851852417)"
Which publications did Jean-Didier M. write?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/26/1550> },"```sparql
SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/43/4445> } 
```",0.7506238537503395,0.8775510204081632,"(0.9912706613540649, 0.9912706613540649, 0.9912706613540649)"
"Mention the ORCID of the researcher Turcanu, Ion.",SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/170/2615> <https://dblp.org/rdf/schema#orcid> ?answer },"```sparql
SELECT DISTINCT ?answer WHERE { ?x <https://dblp.org/rdf/schema#author> <https://dblp.org/pid/170/2615> . ?x <https://dblp.org/rdf/schema#orcid> ?answer } 
```",0.39832871551569504,0.9574468085106383,"(0.9709710478782654, 0.9499432444572449, 0.9603420495986938)"
